Category,Sub Category,Number,TONE Name,MSB,LSB,PC
,,0633,Wet Nyln Gtr,84,4,121
,,0634,Folk Gtr 1,84,4,122
,,0635,Folk Gtr 2,84,4,123
,,0636,Folk Gtr 3,84,4,124
,,0637,Latin Gtr,84,4,125
,,0638,Ukulele,84,4,126
,,0639,Ukulele 2,84,4,127
,,0640,Nylon Gtr 1o,84,4,128
,,0641,Steel-str.Gt,84,5,1
,,0642,12-str. Gtr,84,5,2
,,0643,Steel + Body,84,5,3
,,0644,Gt FretNoise,84,5,4
,E.GUITAR,0645,Clean Gtr 1,84,5,5
,,0646,Clean Gtr 2,84,5,6
,,0647,Clean Gtr 3,84,5,7
,,0648,Jazz Guitar,84,5,8
,,0649,Jazz Guitar2,84,5,9
,,0650,Pick E.Gtr,84,5,10
,,0651,Funk Guitar,84,5,11
,,0652,Funk Guitar2,84,5,12
,,0653,Wet E.Gtr,84,5,13
,,0654,Pedal Steel,84,5,14
,,0655,Pedal Steel2,84,5,15
,,0656,Clean Guitar,84,5,16
,,0657,Chorus Gtr,84,5,17
,,0658,Mid Tone Gtr,84,5,18
,,0659,Muted Guitar,84,5,19
,,0660,Funk Pop,84,5,20
,,0661,Jazz Man,84,5,21
,,0662,Gt Cut Noise,84,5,22
,DIST GUITAR,0663,Overdrive Gt,84,5,23
,,0664,OverdriveGt2,84,5,24
,,0665,Guitar Pinch,84,5,25
,,0666,Dist Gtr 1,84,5,26
,,0667,Dist Gtr 2,84,5,27
,,0668,Dist Gtr 3,84,5,28
,,0669,DistortionGt,84,5,29
,,0670,Gt Feedback1,84,5,30
,,0671,Dist Rtm Gtr,84,5,31
,,0672,Gt Harmonics,84,5,32
,,0673,Gt Feedback2,84,5,33
,PLUCKED STROKE,0674,Kalimba,84,5,34
,,0675,Harp,84,5,35
,,0676,Yang Qin,84,5,36
,,0677,Sitar Pad,84,5,37
,,0678,Mandolin,84,5,38
,,0679,Sitar 1,84,5,39
,,0680,Sitar 2,84,5,40
,,0681,Sitar 3,84,5,41
,,0682,Banjo,84,5,42
,,0683,Shamisen,84,5,43
,,0684,Koto,84,5,44
,,0685,Taisho Koto,84,5,45
,,0686,Aerial Harp,84,5,46
,,0687,LostParadise,84,5,47
,,0688,Indian Frtls,84,5,48
,,0689,Santur,84,5,49
,,0690,Santur 2,84,5,50
,,0691,Santur 3,84,5,51
OTHER,ENSEMBLE BRASS,0692,Brass 1,84,5,52
,,0693,Brass 2,84,5,53
,,0694,Brass 3,84,5,54
,,0695,Brass 4,84,5,55
,,0696,Brass 5,84,5,56
,,0697,Brass 6,84,5,57
,,0698,F.Horn Sect,84,5,58
,SOLO BRASS,0699,Trumpet,84,5,59
,,0700,Trumpet 2,84,5,60
,,0701,Dark Trumpet,84,5,61
,,0702,MuteTrumpet1,84,5,62
,,0703,MuteTrumpet2,84,5,63
,,0704,Trombone 1,84,5,64
,,0705,Trombone 2,84,5,65
,,0706,Bright Tb,84,5,66
,,0707,Tuba,84,5,67
,,0708,Fr.Horn,84,5,68
,,0709,French Horn,84,5,69
,WOODWINDS,0710,Oboe,84,5,70
,,0711,English Horn,84,5,71
,,0712,Bassoon,84,5,72
,,0713,Bassoon 2,84,5,73
,,0714,Clarinet,84,5,74
,,0715,Bagpipe,84,5,75
,,0716,Shanai,84,5,76
,FLUTE,0717,Piccolo,84,5,77
,,0718,Flute,84,5,78
,,0719,Flute 2,84,5,79
,,0720,Strawberry Flute,84,5,80
,,0721,Pan Flute,84,5,81
,,0722,Pan Flute 2,84,5,82
,,0723,Pan Pipes 1,84,5,83
,,0724,Pan Pipes 2,84,5,84
,,0725,Bottle Blow,84,5,85
,,0726,Shakuhachi,84,5,86
,,0727,Shakuhachi 2,84,5,87
,,0728,Breath Noise,84,5,88
,,0729,Fl.Key Click,84,5,89
,SAX,0730,Soprano Sax,84,5,90
,,0731,Soprano Sax2,84,5,91
,,0732,Alto Sax,84,5,92
,,0733,Tenor Sax,84,5,93
,,0734,Tenor Sax 2,84,5,94
,,0735,BreathyTenor,84,5,95
,,0736,Baritone Sax,84,5,96
,RECORDER,0737,Recorder,84,5,97
,,0738,Whistle,84,5,98
,,0739,Ocarina,84,5,99
,,0740,Ocarina 2,84,5,100
,SYNTH LEAD,0741,Juno SQR,84,5,101
,,0742,Saw Lead 1,84,5,102
,,0743,Saw Lead 2,84,5,103
,,0744,Saw Lead 3,84,5,104
,,0745,Saw Lead 4,84,5,105
,,0746,Saw Lead 5,84,5,106
,,0747,Saw Lead 6,84,5,107
,,0748,Saw Lead 7,84,5,108
,,0749,Saw Lead 8,84,5,109
,,0750,Saw Lead 9,84,5,110
,,0751,Saw Lead 10,84,5,111
,,0752,GR300 Lead 1,84,5,112
,,0753,GR300 Lead 2,84,5,113
,,0754,Classic GR,84,5,114
,,0755,Bright GR,84,5,115
,,0756,Fat GR Lead,84,5,116
,,0757,MODified Ld,84,5,117
,,0758,Syn Lead 1,84,5,118
,,0759,Syn Lead 2,84,5,119
,,0760,Syn Lead 3,84,5,120
,,0761,Syn Lead 4,84,5,121
,,0762,Syn Lead 5,84,5,122
,,0763,Syn Lead 6,84,5,123
,,0764,Syn Lead 7,84,5,124
,,0765,Pro Fat Ld 1,84,5,125
,,0766,Pro Fat Ld 2,84,5,126
,,0767,JupiterLead1,84,5,127
,,0768,JupiterLead2,84,5,128
,,0769,Porta Lead,84,6,1
,,0770,Classic Lead,84,6,2
,,0771,On Air,84,6,3
,,0772,Wormy Lead,84,6,4
,,0773,Waspy Lead,84,6,5
,,0774,Brite ResoLd,84,6,6
,,0775,Brass Lead,84,6,7
,,0776,Legato Tkno,84,6,8
,,0777,Follow Me,84,6,9
,,0778,Octa Juice,84,6,10
,,0779,Juicy Jupe,84,6,11
,,0780,Octa Saw,84,6,12
,,0781,Vintager 1,84,6,13
,,0782,Vintager 2,84,6,14
,,0783,Sync Lead,84,6,15
,,0784,Octa Sync,84,6,16
,,0785,Leading Sync,84,6,17
,,0786,A Leader,84,6,18
,,0787,Hot Coffee,84,6,19
,,0788,Hot Sync,84,6,20
,,0789,Synchro Lead,84,6,21
,,0790,Space Solo,84,6,22
,,0791,Squareheads,84,6,23
,,0792,Mod Lead,84,6,24
,,0793,Alpha Spit,84,6,25
,,0794,Air Lead,84,6,26
,,0795,Pulstar Lead,84,6,27
,,0796,Therasaw,84,6,28
,,0797,Warmy Lead,84,6,29
,,0798,ResoSawLead,84,6,30
,,0799,Soft Reso Ld,84,6,31
,,0800,Reso Lead 1,84,6,32
,,0801,Reso Lead 2,84,6,33
,,0802,Reso Lead 3,84,6,34
,,0803,Reso Lead 4,84,6,35
,,0804,Reso Lead 5,84,6,36
,,0805,Juicy Lead,84,6,37
,,0806,DC Triangle,84,6,38
,,0807,Soft Lead 1,84,6,39
,,0808,Soft Lead 2,84,6,40
,,0809,Soft Lead 3,84,6,41
,,0810,Soft Lead 4,84,6,42
,,0811,Soft Lead 5,84,6,43
,,0812,Soft Lead 6,84,6,44
,,0813,Soft Lead 7,84,6,45
,,0814,Soft Lead 8,84,6,46
,,0815,Soft Lead 9,84,6,47
,,0816,Soft Lead 10,84,6,48
,,0817,Tri Lead,84,6,49
,,0818,Pulse Lead 1,84,6,50
,,0819,Pulse Lead 2,84,6,51
,,0820,Pulse Lead 3,84,6,52
,,0821,Pulse Lead 4,84,6,53
,,0822,Simple Tri,84,6,54
,,0823,Simple Sine,84,6,55
,,0824,Whistle Ld 1,84,6,56
,,0825,Whistle Ld 2,84,6,57
,,0826,Square Pipe,84,6,58
,,0827,CosmicDrops1,84,6,59
,,0828,Spooky Lead,84,6,60
,,0829,Pure Lead,84,6,61
,,0830,303 NRG,84,6,62
,,0831,Round SQR,84,6,63
,,0832,Brite SQR,84,6,64
,,0833,Square SAW,84,6,65
,,0834,Simple SQR,84,6,66
,,0835,Sqr Lead,84,6,67
,,0836,Atk Lead,84,6,68
,,0837,Octa Square,84,6,69
,,0838,CS Lead,84,6,70
,,0839,Mini Growl,84,6,71
,,0840,Hoover Again,84,6,72
,,0841,Tranceformer,84,6,73
,,0842,Ramp Lead 1,84,6,74
,,0843,Ramp Lead 2,84,6,75
,,0844,Sine Lead 1,84,6,76
,,0845,Sine Lead 2,84,6,77
,,0846,Dance Saws1,84,6,78
,,0847,Resoform,84,6,79
,,0848,Dance Saws 2,84,6,80
,,0849,Square Wave,84,6,81
,,0850,MG Square,84,6,82
,,0851,2600 Sine,84,6,83
,,0852,Saw Wave,84,6,84
,,0853,OB2 Saw,84,6,85
,,0854,Doctor Solo,84,6,86
,,0855,Natural Lead,84,6,87
,,0856,Syn.Calliope,84,6,88
,,0857,Chiffer Lead,84,6,89
,,0858,Charang,84,6,90
,,0859,Wire Lead,84,6,91
,,0860,Solo Vox,84,6,92
,,0861,5th Saw Wave,84,6,93
,,0862,Bass & Lead,84,6,94
,,0863,Delayed Lead,84,6,95
,SYNTH BRASS,0864,80s Brass 1,84,6,96
,,0865,80s Brass 2,84,6,97
,,0866,80s Brass 3,84,6,98
,,0867,80s Brass 4,84,6,99
,,0868,80s Brass 5,84,6,100
,,0869,80s Brass 6,84,6,101
,,0870,80s Brass 7,84,6,102
,,0871,80s Brass 8,84,6,103
,,0872,Soft SynBrs1,84,6,104
,,0873,Soft SynBrs2,84,6,105
,,0874,Warm SynBrs,84,6,106
,,0875,Brite SynBrs,84,6,107
,,0876,Express Brs,84,6,108
,,0877,EuroExpress1,84,6,109
,,0878,JP Brass 1,84,6,110
,,0879,JP Brass 2,84,6,111
,,0880,Juno Brass,84,6,112
,,0881,Ox Brass,84,6,113
,,0882,Reso Brass,84,6,114
,,0883,Wide SynBrs,84,6,115
,,0884,106 Brass,84,6,116
,,0885,Octa Brass,84,6,117
,,0886,Poly Brass 1,84,6,118
,,0887,Poly Brass 2,84,6,119
,,0888,Dual Saw Brs,84,6,120
,,0889,Jump Poly,84,6,121
,,0890,Reso Key 1,84,6,122
,,0891,EuroExpress2,84,6,123
,,0892,Ox Synth,84,6,124
,,0893,VintageBrs 1,84,6,125
,,0894,VintageBrs 2,84,6,126
,,0895,VintageBrs 3,84,6,127
,,0896,VintageBrs 4,84,6,128
,,0897,JP Brass,84,7,1
,,0898,Oct SynBrass,84,7,2
,,0899,Jump Brass,84,7,3
,,0900,Synth Brass1,84,7,4
,,0901,Synth Brass2,84,7,5
,,0902,SynBrass sfz,84,7,6
,,0903,Velo Brass,84,7,7
,SYNTH POLY KEY,0904,Syn Mallet,84,7,8
,,0905,Heaven Key,84,7,9
,,0906,PWM Pad 1,84,7,10
,,0907,Poly Synth,84,7,11
,,0908,Dream Trance,84,7,12
,,0909,Dream Saws,84,7,13
,,0910,Dream Pulse,84,7,14
,,0911,Trance Synth,84,7,15
,,0912,Trancy,84,7,16
,,0913,Trance Keys,84,7,17
,,0914,Trance Saws,84,7,18
,,0915,Auto Trance1,84,7,19
,,0916,Super Saws 1,84,7,20
,,0917,Analog Saws,84,7,21
,,0918,Uni-G,84,7,22
,,0919,Digitaless,84,7,23
,,0920,Bustranza,84,7,24
,,0921,Super Saws 2,84,7,25
,,0922,Poly Synth 2,84,7,26
,,0923,Poly Synth 3,84,7,27
,,0924,Poly Synth 4,84,7,28
,,0925,Poly Synth 5,84,7,29
,,0926,Poly Synth 6,84,7,30
,,0927,Poly Synth 7,84,7,31
,,0928,Juno Saw Key,84,7,32
,,0929,Saw Key 1,84,7,33
,,0930,Saw Key 2,84,7,34
,,0931,Waspy Synth,84,7,35
,,0932,Vintage Key,84,7,36
,,0933,Ju-D Fifths,84,7,37
,,0934,Reso Key 2,84,7,38
,,0935,Fat Synth,84,7,39
,,0936,DOC Stack,84,7,40
,,0937,2 Saws,84,7,41
,,0938,Hi Saw Band,84,7,42
,,0939,Brite Synth,84,7,43
,,0940,RAVtune,84,7,44
,,0941,Pipe Key,84,7,45
,,0942,Shroomy,84,7,46
,,0943,AnalogDays 1,84,7,47
,,0944,Sync Key,84,7,48
,,0945,Detune Ramp,84,7,49
,,0946,Reso Saw,84,7,50
,,0947,EuroExpress3,84,7,51
,,0948,Sweep Saw,84,7,52
,SYNTH FX,0949,Shimmer Pad,84,7,53
,,0950,BUBBLE 1,84,7,54
,,0951,CosmicDrops2,84,7,55
,,0952,Enigmatic,84,7,56
,,0953,Planetz,84,7,57
,,0954,Sci-Fi,84,7,58
,,0955,ResoSweep Dn,84,7,59
,,0956,Jet Noise,84,7,60
,,0957,Brandish,84,7,61
,,0958,909 Fx,84,7,62
,,0959,Zap,84,7,63
,,0960,PolySweep Nz,84,7,64
,,0961,Passing By,84,7,65
,,0962,Lazer Points,84,7,66
,,0963,Crystal Fx,84,7,67
,,0964,Crystal Ice,84,7,68
,,0965,Mad Noise,84,7,69
,,0966,Robot Sci-Fi,84,7,70
,,0967,Computer 1,84,7,71
,,0968,Computer 2,84,7,72
,,0969,S&H Noise,84,7,73
,,0970,S&H Ramp,84,7,74
,,0971,S&H PWM,84,7,75
,,0972,S&H Saw 1,84,7,76
,,0973,S&H Saw 2,84,7,77
,,0974,Electrostar,84,7,78
,,0975,Alpha Said,84,7,79
,,0976,FX Ramp,84,7,80
,,0977,Goblin,84,7,81
,,0978,Echo Drops,84,7,82
,,0979,Echo Bell,84,7,83
,SYNTH SEQ PAD,0980,Analog Seq,84,7,84
,,0981,Seq Pop,84,7,85
,,0982,Periscope,84,7,86
,,0983,Major 7,84,7,87
,,0984,Juno-D Maj7,84,7,88
,,0985,Sweet House,84,7,89
,,0986,Detune Saws,84,7,90
,,0987,Melodic Drum,84,7,91
,,0988,Detune Seq,84,7,92
,,0989,SequencedSaw,84,7,93
,,0990,Echo Pan,84,7,94
,PULSATING,0991,PanninFormnt,84,7,95
,,0992,Fairy's Song,84,7,96
,,0993,Atmospherics,84,7,97
,,0994,StrobeBell 1,84,7,98
,,0995,StrobeBell 2,84,7,99
,,0996,Flying Pad 1,84,7,100
,,0997,Flying Pad 2,84,7,101
,,0998,Flying Pad 3,84,7,102
,,0999,Flying Pad 4,84,7,103
,,1000,Flying Pad 5,84,7,104
,,1001,Sine Magic,84,7,105
,,1002,Pulsatron,84,7,106
,,1003,Motion Bass,84,7,107
,,1004,Trance Splt,84,7,108
,,1005,Rhythmic 5th,84,7,109
,,1006,Rhythmic 1,84,7,110
,,1007,Rhythmic 2,84,7,111
,,1008,Mega Sync 1,84,7,112
,,1009,StrobeBell 3,84,7,113
,,1010,Strobe 1,84,7,114
,,1011,Strobe 2,84,7,115
,,1012,Strobe 3,84,7,116
,,1013,Strobe 4,84,7,117
,,1014,LFO Saw,84,7,118
,,1015,Keep Going,84,7,119
,,1016,Keep Running,84,7,120
,,1017,Electrons,84,7,121
,,1018,BriskVortex,84,7,122
,,1019,LFO Vox,84,7,123
,,1020,Pulsasaw,84,7,124
,,1021,Arposphere,84,7,125
,,1022,Mega Sync 2,84,7,126
,BEAT GROOVE,1023,Compusonic 1,84,7,127
,,1024,Compusonic 2,84,7,128
,,1025,Compusonic 3,84,8,1
,,1026,Compusonic 4,84,8,2
,,1027,Compusonic 5,84,8,3
,,1028,AnalogDays 2,84,8,4
,,1029,Groove 007,84,8,5
,,1030,Juno Pop,84,8,6
,,1031,Auto Trance2,84,8,7
,,1032,In Da Groove,84,8,8
,,1033,80s Beat,84,8,9
,HIT,1034,Cheezy Movie,84,8,10
,,1035,Mod Chord,84,8,11
,,1036,Housechord,84,8,12
,,1037,OrchestraHit,84,8,13
,,1038,Bass Hit,84,8,14
,,1039,6th Hit,84,8,15
,,1040,Euro Hit,84,8,16
,SOUND FX,1041,Seashore,84,8,17
,,1042,Rain,84,8,18
,,1043,Thunder,84,8,19
,,1044,Wind,84,8,20
,,1045,Stream,84,8,21
,,1046,Bubble,84,8,22
,,1047,Bird 1,84,8,23
,,1048,Dog,84,8,24
,,1049,Horse Gallop,84,8,25
,,1050,Bird 2,84,8,26
,,1051,Telephone 1,84,8,27
,,1052,Telephone 2,84,8,28
,,1053,DoorCreaking,84,8,29
,,1054,Door,84,8,30
,,1055,Scratch,84,8,31
,,1056,Scratch 2,84,8,32
,,1057,Wind Chimes,84,8,33
,,1058,Helicopter,84,8,34
,,1059,Car Engine,84,8,35
,,1060,Car Stop,84,8,36
,,1061,Car Pass,84,8,37
,,1062,Car Crash,84,8,38
,,1063,Siren,84,8,39
,,1064,Train,84,8,40
,,1065,Jetplane,84,8,41
,,1066,Starship,84,8,42
,,1067,Burst Noise,84,8,43
,,1068,Applause,84,8,44
,,1069,Laughing,84,8,45
,,1070,Screaming,84,8,46
,,1071,Punch,84,8,47
,,1072,Heart Beat,84,8,48
,,1073,Footsteps,84,8,49
,,1074,Gun Shot,84,8,50
,,1075,Machine Gun,84,8,51
,,1076,Laser Gun,84,8,52
,,1077,Explosion,84,8,53
,,1078,GM2 SFX,84,8,54
,PERCUSSION,1079,Timpani,84,8,55
,,1080,Ride Cymbal,84,8,56
,,1081,Castanets,84,8,57
,,1082,Taiko,84,8,58
,,1083,Concert BD,84,8,59
,,1084,Melo. Tom 1,84,8,60
,,1085,Melo. Tom 2,84,8,61
,,1086,Synth Drum,84,8,62
,,1087,808 Tom,84,8,63
,,1088,Elec Perc,84,8,64
,,1089,Reverse Cymb,84,8,65
,,1090,Agogo,84,8,66
,,1091,Woodblock,84,8,67
,DRUMS,1092,Standard 1,84,8,68
,,1093,Standard 2,84,8,69
,,1094,Standard 3,84,8,70
,,1095,Rock Kit,84,8,71
,,1096,Jazz Kit,84,8,72
,,1097,Brush Kit,84,8,73
,,1098,Machine Kit,84,8,74
,,1099,R&B T-Analog,84,8,75
,,1100,R&B Mini Kit,84,8,76
,,1101,HipHop Kit,84,8,77
,,1102,R&B Kit,84,8,78
,,1103,Dance Kit 1,84,8,79
,,1104,Dance Kit 2,84,8,80
,,1105,Dance Kit 3,84,8,81
,,1106,GM2 STANDARD,84,8,82
,,1107,GM2 ROOM,84,8,83
,,1108,GM2 POWER,84,8,84
,,1109,GM2 ELECTRIC,84,8,85
,,1110,GM2 ANALOG,84,8,86
,,1111,GM2 JAZZ,84,8,87
,,1112,GM2 BRUSH,84,8,88
,,1113,GM2 ORCHSTRA,84,8,89
